ComponentOrder,PathwayOrder,ComponentOrderWithinPathway,Pathway,PathwayDisplay,RequestedComponent,MappingStatus,LookupMouseSymbol,DisplayComponent,EnsemblID,MGI_ID,EntrezID,OfficialMouseSymbol,GeneBiotype,Essential components,Sheet,SheetOrder,RowInSheet,Included,ExclusionReason
30,5,1,BER,BER,UNG,reviewed teacher label/alias -> official mouse symbol,Ung,Ung,ENSMUSG00000029591,MGI:109352,22256,Ung,protein_coding,UNG,SSB_others,2,1,TRUE,
31,5,2,BER,BER,OGG1,reviewed teacher label/alias -> official mouse symbol,Ogg1,Ogg1,ENSMUSG00000030271,MGI:1097693,18294,Ogg1,protein_coding,OGG1,SSB_others,2,2,TRUE,
32,5,3,BER,BER,NEIL1,reviewed teacher label/alias -> official mouse symbol,Neil1,Neil1,ENSMUSG00000032298,MGI:1920024,72774,Neil1,protein_coding,NEIL1,SSB_others,2,3,TRUE,
34,5,5,BER,BER,APE1,reviewed teacher label/alias -> official mouse symbol,Apex1,Apex1,ENSMUSG00000035960,MGI:88042,11792,Apex1,protein_coding,APE1,SSB_others,2,5,TRUE,
35,5,6,BER,BER,PNKP,reviewed teacher label/alias -> official mouse symbol,Pnkp,Pnkp,ENSMUSG00000002963,MGI:1891698,59047,Pnkp,protein_coding,PNKP,SSB_others,2,6,TRUE,
36,5,7,BER,BER,FEN1,reviewed teacher label/alias -> official mouse symbol,Fen1,Fen1,ENSMUSG00000024742,MGI:102779,14156,Fen1,protein_coding,FEN1,SSB_others,2,7,TRUE,
37,6,1,NER,NER,XPA,reviewed teacher label/alias -> official mouse symbol,Xpa,Xpa,ENSMUSG00000028329,MGI:99135,22590,Xpa,protein_coding,XPA,SSB_others,2,8,TRUE,
38,6,2,NER,NER,XPC,reviewed teacher label/alias -> official mouse symbol,Xpc,Xpc,ENSMUSG00000030094,MGI:103557,22591,Xpc,protein_coding,XPC,SSB_others,2,9,TRUE,
39,6,3,NER,NER,RAD23B,reviewed teacher label/alias -> official mouse symbol,Rad23b,Rad23b,ENSMUSG00000028426,MGI:105128,19359,Rad23b,protein_coding,RAD23B,SSB_others,2,10,TRUE,
40,6,4,NER,NER,CETN2,reviewed teacher label/alias -> official mouse symbol,Cetn2,Cetn2,ENSMUSG00000031347,MGI:1347085,26370,Cetn2,protein_coding,CETN2,SSB_others,2,11,TRUE,
41,6,5,NER,NER,CSA,reviewed teacher label/alias -> official mouse symbol,Ercc8,Ercc8,ENSMUSG00000021694,MGI:1919241,71991,Ercc8,protein_coding,CSA,SSB_others,2,12,TRUE,
42,6,6,NER,NER,CSB,reviewed teacher label/alias -> official mouse symbol,Ercc6,Ercc6,ENSMUSG00000054051,MGI:1100494,319955,Ercc6,protein_coding,CSB,SSB_others,2,13,TRUE,
43,6,7,NER,NER,DDB1,reviewed teacher label/alias -> official mouse symbol,Ddb1,Ddb1,ENSMUSG00000024740,MGI:1202384,13194,Ddb1,protein_coding,DDB1,SSB_others,2,14,TRUE,
44,6,8,NER,NER,DDB2,reviewed teacher label/alias -> official mouse symbol,Ddb2,Ddb2,ENSMUSG00000002109,MGI:1355314,107986,Ddb2,protein_coding,DDB2,SSB_others,2,15,TRUE,
45,6,9,NER,NER,XPB,reviewed teacher label/alias -> official mouse symbol,Ercc3,Ercc3,ENSMUSG00000024382,MGI:95414,13872,Ercc3,protein_coding,XPB,SSB_others,2,16,TRUE,
46,6,10,NER,NER,XPD,reviewed teacher label/alias -> official mouse symbol,Ercc2,Ercc2,ENSMUSG00000030400,MGI:95413,13871,Ercc2,protein_coding,XPD,SSB_others,2,17,TRUE,
47,6,11,NER,NER,p8,reviewed teacher label/alias -> official mouse symbol,Gtf2h5,Gtf2h5,ENSMUSG00000034345,MGI:107227,66467,Gtf2h5,protein_coding,p8,SSB_others,2,18,TRUE,
48,6,12,NER,NER,p34,reviewed teacher label/alias -> official mouse symbol,Gtf2h3,Gtf2h3,ENSMUSG00000029387,MGI:1277143,209357,Gtf2h3,protein_coding,p34,SSB_others,2,19,TRUE,
49,6,13,NER,NER,p44,reviewed teacher label/alias -> official mouse symbol,Gtf2h2,Gtf2h2,ENSMUSG00000021639,MGI:1345669,23894,Gtf2h2,protein_coding,p44,SSB_others,2,20,TRUE,
50,6,14,NER,NER,p52,reviewed teacher label/alias -> official mouse symbol,Gtf2h4,Gtf2h4,ENSMUSG00000001524,MGI:1338799,14885,Gtf2h4,protein_coding,p52,SSB_others,2,21,TRUE,
51,6,15,NER,NER,p62,reviewed teacher label/alias -> official mouse symbol,Gtf2h1,Gtf2h1,ENSMUSG00000006599,MGI:1277216,14884,Gtf2h1,protein_coding,p62,SSB_others,2,22,TRUE,
52,6,16,NER,NER,ERCC1,reviewed teacher label/alias -> official mouse symbol,Ercc1,Ercc1,ENSMUSG00000003549,MGI:95412,13870,Ercc1,protein_coding,ERCC1,SSB_others,2,23,TRUE,
53,6,17,NER,NER,XPF,reviewed teacher label/alias -> official mouse symbol,Ercc4,Ercc4,ENSMUSG00000022545,MGI:1354163,50505,Ercc4,protein_coding,XPF,SSB_others,2,24,TRUE,
54,6,18,NER,NER,XPG,reviewed teacher label/alias -> official mouse symbol,Ercc5,Ercc5,ENSMUSG00000026048,MGI:103582,22592,Ercc5,protein_coding,XPG,SSB_others,2,25,TRUE,
55,7,1,MMR,MMR,MSH1,teacher label corrected to mammalian MLH1; no mouse Msh1 record,Mlh1,Mlh1,ENSMUSG00000032498,MGI:101938,17350,Mlh1,protein_coding,MSH1,SSB_others,2,26,TRUE,
56,7,2,MMR,MMR,MSH2,reviewed teacher label/alias -> official mouse symbol,Msh2,Msh2,ENSMUSG00000024151,MGI:101816,17685,Msh2,protein_coding,MSH2,SSB_others,2,27,TRUE,
57,7,3,MMR,MMR,MSH3,reviewed teacher label/alias -> official mouse symbol,Msh3,Msh3,ENSMUSG00000014850,MGI:109519,17686,Msh3,protein_coding,MSH3,SSB_others,2,28,TRUE,
58,7,4,MMR,MMR,MSH6,reviewed teacher label/alias -> official mouse symbol,Msh6,Msh6,ENSMUSG00000005370,MGI:1343961,17688,Msh6,protein_coding,MSH6,SSB_others,2,29,TRUE,
59,7,5,MMR,MMR,PMS2,reviewed teacher label/alias -> official mouse symbol,Pms2,Pms2,ENSMUSG00000079109,MGI:104288,18861,Pms2,protein_coding,PMS2,SSB_others,2,30,TRUE,
60,8,1,FA,FA,FANCA,reviewed teacher label/alias -> official mouse symbol,Fanca,Fanca,ENSMUSG00000032815,MGI:1341823,14087,Fanca,protein_coding,FANCA,SSB_others,2,31,TRUE,
61,8,2,FA,FA,FANCB,reviewed teacher label/alias -> official mouse symbol,Fancb,Fancb,ENSMUSG00000047757,MGI:2448558,237211,Fancb,protein_coding,FANCB,SSB_others,2,32,TRUE,
62,8,3,FA,FA,FANCC,reviewed teacher label/alias -> official mouse symbol,Fancc,Fancc,ENSMUSG00000021461,MGI:95480,14088,Fancc,protein_coding,FANCC,SSB_others,2,33,TRUE,
63,8,4,FA,FA,FANCE,reviewed teacher label/alias -> official mouse symbol,Fance,Fance,ENSMUSG00000007570,MGI:1920025,72775,Fance,protein_coding,FANCE,SSB_others,2,34,TRUE,
64,8,5,FA,FA,FANCF,reviewed teacher label/alias -> official mouse symbol,Fancf,Fancf,ENSMUSG00000092118,MGI:3689889,100040608,Fancf,protein_coding,FANCF,SSB_others,2,35,TRUE,
65,8,6,FA,FA,FANCG,reviewed teacher label/alias -> official mouse symbol,Fancg,Fancg,ENSMUSG00000028453,MGI:1926471,60534,Fancg,protein_coding,FANCG,SSB_others,2,36,TRUE,
66,8,7,FA,FA,FANCL,reviewed teacher label/alias -> official mouse symbol,Fancl,Fancl,ENSMUSG00000004018,MGI:1914280,67030,Fancl,protein_coding,FANCL,SSB_others,2,37,TRUE,
67,8,8,FA,FA,FANCT,reviewed teacher label/alias -> official mouse symbol,Ube2t,Ube2t,ENSMUSG00000026429,MGI:1914446,67196,Ube2t,protein_coding,FANCT,SSB_others,2,38,TRUE,
68,8,9,FA,FA,FANCM,reviewed teacher label/alias -> official mouse symbol,Fancm,Fancm,ENSMUSG00000055884,MGI:2442306,104806,Fancm,protein_coding,FANCM,SSB_others,2,39,TRUE,
69,8,10,FA,FA,MHF1,reviewed teacher label/alias -> official mouse symbol,Ciao1,Ciao1,ENSMUSG00000003662,MGI:1346998,26371,Ciao1,protein_coding,MHF1,SSB_others,2,40,TRUE,
70,8,11,FA,FA,MHF2,reviewed teacher label/alias -> official mouse symbol,Ciao2b,Ciao2b,ENSMUSG00000031879,MGI:1915773,68523,Ciao2b,protein_coding,MHF2,SSB_others,2,41,TRUE,
71,8,12,FA,FA,FAAP100,reviewed teacher label/alias -> official mouse symbol,Faap100,Faap100,ENSMUSG00000025384,MGI:1919135,71885,Faap100,protein_coding,FAAP100,SSB_others,2,42,TRUE,
72,8,13,FA,FA,FAAP20,reviewed teacher label/alias -> official mouse symbol,Faap20,Faap20,ENSMUSG00000073684,MGI:1914763,67513,Faap20,protein_coding,FAAP20,SSB_others,2,43,TRUE,
73,8,14,FA,FA,FAAP24,reviewed teacher label/alias -> official mouse symbol,Faap24,Faap24,ENSMUSG00000030493,MGI:2142208,101831,Faap24,protein_coding,FAAP24,SSB_others,2,44,TRUE,
74,8,15,FA,FA,FANCD2,reviewed teacher label/alias -> official mouse symbol,Fancd2,Fancd2,ENSMUSG00000034023,MGI:2448480,211651,Fancd2,protein_coding,FANCD2,SSB_others,2,45,TRUE,
75,8,16,FA,FA,FANCI,reviewed teacher label/alias -> official mouse symbol,Fanci,Fanci,ENSMUSG00000039187,MGI:2384790,208836,Fanci,protein_coding,FANCI,SSB_others,2,46,TRUE,
